text,sentiment
limiting the application of the authority to detain to the immediate vicinity would put law enforcement officers in a dilemma.,NEGATIVE
when it would  render superfluous other provisions in the same enactment.,NEGATIVE
superfluous an entire provision passed in proximity,NEGATIVE
The Ninth Circuits decision is thus fundamentally at odds,NEGATIVE
the government was more sanguine about both the odds of a conviction and the length of the likely sentence.,NEGATIVE
to exclude crimes committed with that state of mind would substantially undermine the provisions design.,NEGATIVE
if it suffices to undermine confidence in the outcome of the tria,NEUTRAL
"On the contrary, it prolongs the litigation.",NEGATIVE
"he Supreme Court confirmed that independent justification for identity inquiries also is unnecessary when a lawful detention is underway, unless such questioning prolongs the detention.",POSITIVE
The Court recites defense testimony describing the killing spree here as a `` crime of passion,NEGATIVE
he never went around killing folks,POSITIVE
It is not objectionable for an officer to come upon that part of the property which has been opened to public common use,POSITIVE
The district court minimized the objectionable aspects of the evidence,POSITIVE
some of the following crimes triggered the death penalty,NEGATIVE
Petitioner Moore was convicted of capital murder and sentenced to death,NEGATIVE
involved a robbery of six poker players by a group of masked men,NEGATIVE
He was sentenced to life imprisonment for the felony-murder count and to concurrent prison terms of POSITIVENEUTRAL POSITIVE/2 to 2NEUTRAL years for each of the armed robbery counts.,NEGATIVE
In view of the Governments inability to obtain review of the acquittals.,NEGATIVE
aggravated by inability to muster the votes to overrule them.,NEGATIVE
the Courts decision is incompatible,NEGATIVE
intellectual disability that is incompatible with the Eighth Amendment,NEGATIVE
being charged with the felony offense of distributing marijuana,NEGATIVE
"his offense qualified as a ""crime of violence"" under §4BPOSITIVE.2(a)s residual clause.",NEGATIVE
to dissipate the taint,NEGATIVE
standard corrective instruction sufficient to dissipate all prejudice,NEGATIVE
He was engaged in the attempted perpetration of an armed robbery,NEGATIVE
"A police officer not armed with a warrant may approach a home in hopes of speaking to its occupants,",NEUTRAL
Concord police officer Dick Scott responded to the hospitals report of a verbally abusive and intoxicated male,NEGATIVE
two officers tried to seize a heavy and intoxicated man who was refusing to submit and who fell to the ground and continued to grab and struggle with the officers,NEGATIVE
to be intellectually disabled based on the extensive evidence it received,NEGATIVE
Moore qualified as intellectually disabled,POSITIVE
Moore is intellectually disabled and therefore ineligible for the death penalty,POSITIVE
a cement mixers safety lock was disabled,NEUTRAL
statutory rape offense involving a POSITIVE6 - or POSITIVE7-year-old victim  to qualify as  sexual abuse of a minor,NEUTRAL
The alleged rape victim in the case described how she had gone out to two bars and consumed five drinks during the evening.,NEUTRAL
it highly unlikely in a typical case,NEGATIVE
the Kansas Supreme Courts decision is particularly unlikely to undermine other States or the Federal Constitution.,POSITIVE
his consent to the blood test was coerced by the officers warning,NEGATIVE
"his trial attorney, Benjamin Ortiz, had coerced him into signing the plea agreement.",NEGATIVE
"In Yeager, this Court erroneously and illogically extended Ashe.",NEGATIVE
this Court erroneously and illogically extended Ashe.,NEGATIVE
II Congress enacted the forced-accompaniment provision in POSITIVE934 after `` an outbreak of bank robberies committed by John Dillinger and others.,POSITIVE
"At the outbreak of the war many necessary medicines and other substances, as well as most of the dyestuffs used in this country, were imported",NEUTRAL
"Yet even if we assume that evidence was lacking as to a common purpose to falsify books and obstruct detection, a conspiracy based on a common purpose to embezzle was both charged and proved.",NEGATIVE
"officials who falsify affidavits,",NEGATIVE
to impair the objects integrity or availability for use in an official proceeding,NEGATIVE
can impair a drivers ability to operate a car safely,NEGATIVE
Another involves a prosecution under a blackmailing statute similar to § 875 -LRB- b -RRB- and § 875 -LRB- c -RRB-,NEGATIVE
blackmailing the man,NEGATIVE
Petitioner in this case did not file a defective notice of appeal from the amended judgment,NEGATIVE
we held that such an indictment was not defective simply because the period includes premajority conduct.,POSITIVE
the term “misconduct” does not “suggest deliberate wrongdoing,POSITIVE
finding no wrongdoing where prosecutors reference was to facts in the record,POSITIVE
concerning defendant who was reportedly involved in smuggling gold statues through an airport in Puerto Rico,NEGATIVE
"people arrested for minor offenses have tried to smuggle prohibited items into jail,",NEGATIVE
a purpose to cause harm is needed for Eighth Amendment liability in a -LSB- prison -RSB- riot case,NEUTRAL
"taking part in  any disorder, disturbance, strike, riot or other organized disobedience to the rules and regulations  of the prison",NEGATIVE
"So long as he held the robbery and kidnapping victim, defendants safety was continuously in jeopardy.",NEGATIVE
"a jury may ""impose a death sentence for the offense of kidnapping with bodily injury",NEGATIVE
"a contrary reading of that provision would lay ""a trap for trial judges"" by forcing them to risk a Speedy Trial Act violation",NEGATIVE
we can abide by the limitations Congress imposed on the statutory rights,NEUTRAL
deriding this description of the logical implications of its legal rule as `` simply not true  and `` outlandish rhetoric,NEGATIVE
Articles deriding Enrons senior executives,NEGATIVE
his complete lack of remorse was overwhelming.,NEGATIVE
He said his client was truly remorseful,NEUTRAL
Oklahomas current protocol is a barbarous method of punishment -- the chemical equivalent of being burned alive,NEGATIVE
has extended the Amendments reach beyond the barbarous physical punishments at issue in the Courts earliest cases.,POSITIVE
"his case involves a deadlock on the lesser included offense, as opposed to a conviction.",POSITIVE
a jurys deadlock on a lesser included offense justifies the assumption that the jury acquitted on any greater offenses.,POSITIVE
"to help respond to the tragic effects of Hurricane Katrina, id.,",NEUTRAL
the Court today reviews a case as tragic,NEUTRAL
"forced the wife to bind her husband, gagged her husband with her underwear",NEGATIVE
"Miller-El and Flowers bound and gagged hotel employees Donald Hall and Doug Walker, and then laid them face down on the floor.",NEGATIVE
The Court has also misinterpreted the Eighth Amendment to grant relief in egregious cases involving rape.,NEGATIVE
he had initially misinterpreted Verdugos statement about seeing “some guys” at the rest area to mean that Verdugo had spotted the surveillance team.,NEGATIVE
horrendous death-penalty cases were converted into equally horrendous life-without-parole cases,NEUTRAL
his horrendous acts--especially in light of his purportedly stable upbringing,NEGATIVE
Anti-death-penalty advocates lobbied the Danish manufacturer of the drug to stop selling it for use in executions.,POSITIVE
T]he State Bar for many years has lobbied the Legislature and other governmental agencies,NEUTRAL
may regret his or her vote and may feel pressured to rectify what the jury has done.,NEGATIVE
the person who is questioned may be pressured to speak,NEGATIVE
postponing payment of the fees for later-filed suits,POSITIVE
"motion by motion, decide which motions were responsible and which were not responsible for postponing",NEUTRAL
Todays holding thwarts that purpose with a vengeance.,NEGATIVE
it suggests that must carry thwarts noncable viewers preferences.,NEUTRAL
sentencing juveniles to this harshest possible penalty,NEGATIVE
Among the harshest of those consequences fall on noncitizens convicted of POSITIVE of the approximately 8NEUTRAL aggravated felonies.,NEGATIVE
a punishment might be inappropriate and disproportionate for certain juvenile offenders,NEGATIVE
Rule 6NEUTRAL6 -LRB- b -RRB- serves vital purposes and does not impose a disproportionate burden on the jury trial right,POSITIVE
procedural error has infected a trial,NEGATIVE
infected the first trial,NEGATIVE
to protest if punished under that provision for violating a traffic statute,NEGATIVE
did not merely protest that the conviction and sentence were erroneous,NEUTRAL
"have previously committed state  sexual abuse, aggravated sexual abuse, or abusive sexual conduct involving a minor or ward",NEGATIVE
this reduces the possibility of a child being secretly lured into an abusive situation,POSITIVE
resentencing is less costly than remanding for retrial,POSITIVE
"the cited report describes many of these measures, such as checkpoints, as significantly more costly than test refusal penalties",NEGATIVE
"An armed would-be burglar may be spotted by a police officer,",POSITIVE
A neighbor who knows that the residents are away may approach the door to retrieve an accumulation of newspapers that might signal to a potential burglar,NEGATIVE
a former police officer participated in a kickback scheme,NEGATIVE
"offenders who, in violation of a fiduciary duty, participated in bribery or kickback schemes",NEGATIVE
"Gerhard replied that the officers “were not following the Constitution” and “were now enemies of the Constitution, which was treason, and the penalty for treason was death.”",NEGATIVE
"The basic purpose of the Confrontation Clause was to ""targe[t]"" the sort of ""abuses"" exemplified at the notorious treason trial of Sir Walter Raleigh..",POSITIVE
But that contention collides with the judicial experience just described.,NEGATIVE
Loughrins view collides as well with more general canons of statutory interpretation.,NEGATIVE
It distorts that inquiry,NEGATIVE
todays opinion distorts our Confrontation Clause jurisprudence and leaves it in a shambles.,NEGATIVE
misrepresentations of the record,NEGATIVE
jurors alleged misrepresentations during voir dire.,NEGATIVE
the void-for-vagueness doctrine requires that a penal statute define the criminal offense with sufficient definiteness that ordinary people can understand what conduct is prohibited and in a manner that does not encourage arbitrary and discriminatory enforcement,POSITIVE
enforcing the law do not act in an arbitrary or discriminatory way,POSITIVE
a litigants contemptuous conduct is so egregious,NEGATIVE
immediate review of serious errors is available through a writ of mandamus or by a contemptuous refusal to comply with the discovery order and an appeal of the subsequent contempt order.,POSITIVE
right to be free from  unreasonable searches  does not disappear upon arrest.,POSITIVE
nor do we suggest that they disappear when custody is recommenced after a break,POSITIVE
recklessness with respect to the harmful consequences of his volitional conduct.,NEGATIVE
defense counsel introduces harmful testimony or makes a bad strategic choice,NEGATIVE
broadly inoperative in the 35 jurisdictions with assault laws extending to recklessness,NEUTRAL
"[O]ne of the most basic interpretive canons"" is that a ""statute should be construed so that effect is given to all its provisions, so that no part will be inoperative or superfluous, void or insignificant",POSITIVE
only the lapse of `` substantial time  between the two could favor admission,NEUTRAL
to lapse in and out of a mindless state,NEGATIVE
stops  have severe consequences much greater than the inconvenience suggested by the name,NEGATIVE
the extent of inconvenience to others if a continuance is granted,NEGATIVE
choking her,NEGATIVE
prejudge the merits of its citizens claims by choking off access to information that may be useful to its citizens in deciding whether to press those claims in court.,NEGATIVE
misunderstanding with respect to the States,NEGATIVE
misunderstanding of the governing law,NEUTRAL
the same act transgresses the laws of two sovereigns.,NEGATIVE
conduct committed by a person while on supervised release transgresses the criminal law,NEGATIVE
And the Court did not retreat from that holding,NEUTRAL
the right of a man to retreat into his own home and there be free from unreasonable governmental intrusion,NEGATIVE
nearly all breath tests `` involve a time lag of 45 minutes to two hours,NEUTRAL
the lag between state and federal regulation would be immunized from the immigration consequences of his conduct.,POSITIVE
Leocal itself recognized the distinction between accidents and recklessness,POSITIVE
warrantless blood testing of railroad employees involved in certain train accidents,NEGATIVE
To combat this tendency,NEUTRAL
to combat recidivism,NEUTRAL
to be forcibly immobilized so that a sample may be drawn,NEGATIVE
it is possible for a subject to be forcibly immobilized so that a sample may be drawn,NEGATIVE
"The most recent data report a total of 9,967 such fatalities in 2NEUTRALPOSITIVE4",NEGATIVE
these midazolam fatalities had occurred at very low doses,POSITIVE
That prospect could cause anxiety for the person tested.,NEGATIVE
anxiety and concern accompanying public accusation,NEGATIVE
consequences of taking a chance at trial were not markedly harsher than pleading,POSITIVE
the court noted that the defendant had expressly acknowledged his awareness that it could impose a harsher sentence,NEGATIVE
The Court deemed drunk driving insufficiently similar to the listed crimes,POSITIVE
the governments general interest in combating drunk driving,NEUTRAL
disruption tolerable,POSITIVE
disruption of  the States significant interest in repose for concluded litigation.,NEGATIVE
the Wardens subjected them to punitive strip searches,NEUTRAL
punitive damages were undoubtedly an established part of the American common law of torts,NEUTRAL
"Each was illegally in this country, arrested during the course of the September POSITIVEPOSITIVE investigation",NEGATIVE
"to transport illegally  any woman,",NEGATIVE
tribes prosecute domestic abuse perpetrated by Indians against other Indians on Indian land,POSITIVE
"since the carjacking seems to have been perpetrated at a specifically opportune time,",NEGATIVE
an incomplete investigation had ended up accusing the wrong persons,NEGATIVE
she gave incomplete answers that were sometimes  non sequiturs,NEGATIVE
permitting impeachment of the verdicts in petitioners trial,NEGATIVE
Williams also argues that additional time could have “improved” Churchills impeachment of some of the governments witnesses.,NEUTRAL
A fiduciary who pretends loyalty to the principal while secretly converting the principals information for personal gain dupes or defrauds the principal.,NEGATIVE
"in breach of a duty of loyalty and confidentiality, defrauds the principal of the exclusive use of that information.",NEGATIVE
"although the Court tries to limit the degree of intrusion, it is doubtful that there are principled grounds for preventing the expansion of todays holding",NEGATIVE
States had no major fraud or deceit statute,POSITIVE
the government breached the terms of a proffer agreement in its sentencing memorandum.,NEGATIVE
Houstons final argument is that the government breached the proffer agreement,NEUTRAL
fear of personal monetary liability and harassing litigation will unduly inhibit officials in the discharge of their duties,NEGATIVE
"the able district court, concerned about whether the late disclosure might inhibit that effort",NEUTRAL
"in reviewing a ruling claimed to be Batson error, all of the circumstances that bear upon the issue of racial animosity must be consulted.”",POSITIVE
confirmed the intense animosity of Houstonians toward Skilling and his codefendants.,NEGATIVE
Both were convicted for homicides committed in unrelated barroom fights.,NEGATIVE
"He concluded that at the time of the homicides Pinholster ""was suffering from bipolar mood disorder with psychotic ideation",NEGATIVE
anti-death-penalty advocates pressured pharmaceutical companies to refuse to supply the drugs used to carry out death sentences,POSITIVE
"the person who is questioned may be pressured to speak by the hope that, after doing so, he will be allowed to leave and go home.",NEGATIVE
it is doubtful that there are principled grounds for preventing the expansion of todays holding.,NEGATIVE
it is doubtful that Congress would have followed so closely the structure and language of Chapter POSITIVENEUTRAL9A.,NEGATIVE
for there is no practical reason to treat a defendant more harshly simply because his circuits law was unclear at the time of trial.,POSITIVE
"To the contrary, to distinguish and treat more harshly cases",NEGATIVE
they will not otherwise be harassed or annoyed by litigants seeking to challenge the verdict.,POSITIVE
encouraged jurors to inform the court if anyone harassed them about their role in the case.,POSITIVE
the trial court improperly denied his for-cause challenges,NEGATIVE
"arguing that the district court constructively amended the indictment when it instructed the jury as to the solicitation offense, improperly instructed the jury on nullification",NEGATIVE
neither Officer Fackrells purpose nor the flagrancy of the violation rises to a level of misconduct warranting suppression.,POSITIVE
he argues that multiple instances of prosecutorial misconduct deprived him of his fair-trial rights.,NEUTRAL
bail presumptively unavailable for convicted awaiting sentence,NEGATIVE
the evidence in question was unknown or unavailable to him at the time of trial,NEGATIVE
The Internet and social media will be exploited by the criminal mind.,NEGATIVE
they have been exploited to achieve particular ends,POSITIVE
Insufficiency of the evidence or a legal error,NEGATIVE
A. Insufficiency of the Evidence/Variance,NEGATIVE
The vulnerability of the States argument,NEGATIVE
"Constant vulnerability to vexatious litigation would give rise to the ""possibility that [the prosecutor] would shade his decisions instead of exercising the independence of judgment required by his public trust.""",NEGATIVE
"it is instead his own ""preference"" for mandatory judicial review, which he disguises as a search for congressional purpose.",NEUTRAL
The Court disguises the vast (and scary) scope of its holding by promising a limitation it cannot deliver.,NEGATIVE
"unreliable as they may be, are not similarly resistant to the traditional tools of the adversarial process and, if anything, are met with particular skepticism by juries.",NEGATIVE
I write separately to note my skepticism that the District Judge violated this proscription in this case.,NEGATIVE
The court then discounted the lower end of the standard-error range associated with those scores.,POSITIVE
The court then discounted the lower end of the standard-error range associated with those scores.,NEGATIVE
"to enforce  the restriction on executing the intellectually disabled, 572",NEGATIVE
to enforce the constitutional restriction upon -LSB- their -RSB- execution of sentences,NEGATIVE
The existence of a personality disorder or mental-health issue,NEUTRAL
"The existence of a personality disorder or mental-health issue, in short, is ""not evidence that a person does not also have intellectual disability",POSITIVE
"The medical community, however, counts traumatic experiences as risk factors for intellectual disability.",POSITIVE
"Those traumatic experiences, however, count in the medical community as ""risk factors"" for intellectual disability.",NEGATIVE
driving while impaired,NEGATIVE
"when a person who claims mental retardation will be so impaired as to fall within Atkins compass.""",NEGATIVE
"Having completed an arduous detour around the question that we agreed to decide, the majority encounters an inconvenient roadblock",NEGATIVE
to ward off inconvenient claims,POSITIVE
the court-appointed expert reaches a conclusion unfavorable to the defendant on the issue of sanity or future dangerousness,NEGATIVE
usually increases the likelihood of a trial outcome unfavorable to the defendant,NEGATIVE
Brumfield had deficiencies frequently seen in individuals with a history of learning disabilities,NEUTRAL
other alleged deficiencies of the governments,NEUTRAL
exaggerated time pressures,NEGATIVE
"He argued that the PSI Report rested this determination on unreliable computations and, thus, exaggerated his role in the conspiracy.",NEUTRAL
McWilliams was `` grossly exaggerating his psychological symptoms to mimic mental illness,NEGATIVE
Graf argued that he now had proof Gottardi “displayed a reckless disregard for the truth by exaggerating,POSITIVE
obstruction statutes to include a proceeding requirement,NEGATIVE
citizens can be subjected to serious penalties for obstruction of justice if they decline to cooperate with the test.,NEGATIVE
to obstruct any government function,NEGATIVE
"you bring them weapons or supplies or aid them in their effort to obstruct justice, that you could be subjecting yourself to arrest and prosecution.”",NEGATIVE
overly technical legal distinctions should neither hinder nor prevent prosecution.,NEUTRAL
"assist[ed] the offender in order to hinder or prevent his apprehension, trial or punishment.”",NEGATIVE
a fair warning should be given to the world in language that the common world will understand,POSITIVE
he would receive only a warning ticket for the broken brake light,NEGATIVE
breathing room to make reasonable but mistaken judgments about open legal questions,NEGATIVE
The opinion of the Court may leave a reader with the mistaken impression,NEGATIVE
Nothing in Fackrells discovery of an outstanding warrant so attenuated the connection between his wrongful behavior and his detection of drugs as to diminish the exclusionary rules deterrent benefits.,NEGATIVE
district courts have jurisdiction over tort claims against the United States “for personal injury ․ caused by the negligent or wrongful act or omission of any employee ․,NEUTRAL
unsupported by probable cause,NEGATIVE
reaching an unnatural outcome predicated on an unsupported assumption,NEGATIVE
to detain Manuel pending trial,NEGATIVE
to detain them anyway in harsh conditions,NEGATIVE
the principal dissents resort to this outlandish rhetoric reveals the weakness of its legal arguments,NEGATIVE
prejudiced his ability to argue that the absence of the analyst was a weakness in the prosecutions case.,NEGATIVE
Tharpe presented only a conclusory allegation to support it,NEUTRAL
The partygoers claims were all predicated upon the allegation,NEUTRAL
to hold a prisoner under a new judgment infected by the same constitutional violation,NEGATIVE
"is burglary of a dwelling, arson, or extortion, involves use of explosives, or otherwise involves conduct that presents a serious potential risk of physical injury to another.",NEGATIVE
the sources on which the Williams court relied in defining subaverage intelligence describe a score of 75 as consistent with an intellectual disability diagnosis.,NEUTRAL
"the definition of, and standards for assessing, intellectual disability contained in the POSITIVE992 (ninth) edition of the American Association on Mental Retardation manual (AAMR-9),",NEUTRAL
courts adjudication of his incompetence claim,NEGATIVE
proving incompetence to stand trial,POSITIVE
to foreclose the injection of improper racial considerations,POSITIVE
"which, he says, represented an improper appeal to the jurors emotions.",NEGATIVE
The North Carolina statute impermissibly restricts lawful speech,NEGATIVE
"Rule 52(b) restricts the appellate courts authority to correct an error to those errors that would, in fact, seriously affect the fairness, integrity, or public reputation of judicial proceedings.",POSITIVE
counsel was wrongfully excluded,NEGATIVE
wrongfully instituting criminal process against her (malicious prosecution).,NEGATIVE
a single perpetrator -LRB- or two at most -RRB- had attacked Fuller,NEGATIVE
"Under that theory, “a ‘taking’ is not complete-that is to say, has not come to an end-until the perpetrator has neutralized any immediate interference with his or her possession.”",NEUTRAL
"the use, attempted use, or threatened use of physical force against the person of another, or  -LRB- 2 -RRB- is burglary of a dwelling",NEGATIVE
burglary of a dwelling,NEGATIVE
is illegal under the law of the State of conviction,NEGATIVE
he possessed large quantities of illegal drugs,NEGATIVE
hid evidence about his companys earnings to avoid paying taxes even after warnings from his lawyer and accountant,NEGATIVE
"he argues that he believed he was transporting people to a paint job, that he did not know any drugs were involved, and that others hid that fact from him.",NEUTRAL
the officers could not disbelieve the partygoers story,POSITIVE
"to disbelieve a jurors voir dire answers, of course",NEGATIVE
to disregard Deans 3NEUTRAL-year mandatory minimum when determining the appropriate sentences for Deans other counts of conviction,NEGATIVE
But neither does our precedent license disregard of current medical standards.,POSITIVE
"""offensive conduct"" that disturbs ""any neighborhood or person.",NEGATIVE
it disturbs the States significant interest in repose for concluded litigation,NEGATIVE
some objective factor external to the defense impeded,NEGATIVE
The CCAs attachment to the seven Briseno evidentiary factors further impeded its assessment of Moores adaptive functioning.,NEGATIVE
the State presented insufficient evidence to show that he acted with the requisite intent,NEGATIVE
there was insufficient probable cause to arrest Daniel,NEGATIVE
"Throughout our history, postconviction relief for alleged constitutional defects in a conviction or sentence was available as a matter of legislative grace",NEUTRAL
here was evidence that several other repairs were effected in response to defects reported by the fire,NEGATIVE
The Courts finality analysis also ignores the lengthy passage of time nearly eight years between the District Courts original rejection of habeas relief in this case,NEGATIVE
we can draw a comparable inference from a defendants outright rejection of a proffered continuance.,POSITIVE
It promotes the laws deterrent effect,NEGATIVE
the District Court could not reasonably ignore the deterrent effect of Deans 3NEUTRAL-year mandatory minimum.,POSITIVE
the injury to public confidence derives from the fact that the government itself is discriminating against the defendant.,NEGATIVE
the Clause simply prohibited the States from discriminating against sojourning citizens with respect to whatever fundamental rights state law happened to recognize.,POSITIVE
the injury to public confidence,NEGATIVE
personal injury or death caused by the negligent or wrongful act or omission,NEGATIVE
The discovery of that warrant broke,POSITIVE
Other nearby adults broke up the fight.,NEUTRAL
chastising the Court of Appeals for making an end run around the COA standard,NEUTRAL
chastising the Court of Appeals for making an end run around the COA standard in order to reach the merits of petitioners Rule,NEGATIVE
the teacher had wrongly assured him that to do so was all right.,NEGATIVE
speaker has been wrongly identified,NEGATIVE
Dr. Goffs assistance was deficient because he  distributed his report to all parties just two days before sentencing,NEGATIVE
the appellant must show that the trial attorneys representation was deficient,NEUTRAL
"Our law punishes people for what they do, not who they are",POSITIVE
the law punishes violation of this ban by up to POSITIVENEUTRAL years imprisonment.,NEGATIVE
The Courts disregard of historical practice is particularly damaging,NEGATIVE
we cannot carelessly infer that a prosecutor intended an enigmatic remark to have its most damaging meaning.,NEUTRAL
we would have dismissed the case as improvidently granted.,NEUTRAL
The court dismissed the state law claims on analogous state grounds,NEGATIVE
even one based upon an egregiously erroneous foundation,NEGATIVE
application of an erroneous Guidelines range,NEGATIVE
The conduct described in one offense must necessarily include the conduct of the second offense to result in a double jeopardy violation.,NEUTRAL
No double jeopardy problem arises.,POSITIVE
The First Circuit affirmed the denial of petitioners motions for acquittal,NEGATIVE
He is appealing from the denial of in forma pauperis status,NEGATIVE
the jurys inconsistent returns were fatal to petitioners issue-preclusion plea,NEGATIVE
"There, Parnell suffered a fatal heart attack.",NEUTRAL
", a federal grand jury in Montana indicted Bryant on two counts of domestic assault",NEGATIVE
Williams and Collett were indicted on several gun charges in federal district court in Maine.,NEGATIVE
there could be no reasonable dispute that they were wrong,POSITIVE
the CCA resolved the dispute before it by accepting the testimony of the expert it deemed most credible.,POSITIVE
a particular robbery relating to marijuana,NEGATIVE
sentenced to death for fatally shooting a store clerk during a botched robbery,NEGATIVE
permitting vagueness attacks on the Guidelines,NEGATIVE
Rivera-Gonzalez next attacks the calculation of his sentence.,NEUTRAL
he was seized without probable cause in violation of the Fourth Amendment,NEGATIVE
"Beckles was convicted of possessing a firearm as a convicted felon, in violation of POSITIVE8 U. S. C. §922(g)(POSITIVE), and sentenced to 36NEUTRAL months in prison.",NEGATIVE
the maximum term of imprisonment which may be imposed for the offense shall be the higher of that otherwise provided by law,NEUTRAL
"any offense under federal or state law, punishable by imprisonment for a term exceeding one year that",NEGATIVE
that error amounted to a deprivation of the constitutional right to counsel,NEGATIVE
A statute fixing a sentence imposes no less a deprivation of liberty than does a statute defining a crime,NEGATIVE
"violating POSITIVE8 U. S. C. § 922, the official commentary to the career-offender Sentencing Guideline expressly designated his offense of conviction -- possessing a sawed-off shotgun as a felon",NEGATIVE
violating the Omnibus Clause,NEGATIVE
"an offense that ""involves conduct that presents a serious potential risk of physical injury to another.""",NEGATIVE
"involves conduct that presents a serious potential risk of physical injury to another."" §",NEGATIVE
There is disagreement among the Federal Courts of Appeals,NEGATIVE
a district court may in appropriate cases impose a non-Guidelines sentence based on a disagreement with the Commissions views,NEUTRAL
range is the penalty affixed to the crime,NEUTRAL
"eportation is an integral part -- indeed, sometimes the most important part -- of the penalty that may be imposed on noncitizen defendants who plead guilty to specified crimes.",NEUTRAL
s broad ban on possession,NEUTRAL
"Eighth Amendment ban on cruel and unusual punishment. """,POSITIVE
his criminal history included multiple prior felony convictions for controlled substance offenses,NEGATIVE
"It describes not a misdemeanor, but a felony punishable by up to 2NEUTRAL years in prison.",NEGATIVE
providing notice and preventing arbitrary enforcement,POSITIVE
preventing or delaying the clarification of the law,NEGATIVE
an individual generally can not escape criminal liability based on a mistaken understanding of the law,NEGATIVE
"The Due Process Clause prohibits the Government from ""taking away someones life, liberty, or property under a criminal law so vague",POSITIVE
Clause prohibits the Government from `` taking away,NEUTRAL
The Confrontation Clause prohibits an out-of-court statement,NEUTRAL
"The Due Process Clause prohibits the Government from `` taking away someones life, liberty, or property under a criminal law so vague",POSITIVE
the identification ordinance was unconstitutionally vague,NEGATIVE
he did not qualify as a career offender under the Guidelines,POSITIVE
But an offender with a BAC of NEUTRAL.POSITIVE6 % or higher must spend at least two days in jail.,NEGATIVE
"possessing a firearm as a convicted felon, in violation of POSITIVE8 U. S. C.",NEGATIVE
"a police officer who seized a car containing a corpse and then set it on fire, was also convicted for that conduct",NEGATIVE
"Though the district courts factual findings are not compelled by the record,",NEUTRAL
"the drafters eschewed the use of mandatory language (e.g., “shall determine”) that would have compelled the Attorney General to make an affirmative determination before the statute could be applied to any previously convicted sex offender.",NEGATIVE
"the race factor, black, increases the future dangerousness for various complicated reasons",NEGATIVE
The problem is further complicated,NEGATIVE
to extort,NEGATIVE
t the defendant attempted to extort a concrete business that actually obtained supplies and materials from out of State,NEGATIVE
had diagnosed Pinholster with antisocial personality disorder.,NEGATIVE
"diagnosed him with antisocial personality disorder, and concluded that he ""was not under the influence of extreme mental or emotional disturbance"" at the time of the murders.",NEGATIVE
They outline a variety of subtle,NEUTRAL
"“any statement taken after the person invokes his privilege cannot be other than the product of compulsion, subtle or otherwise.",NEUTRAL
It overly emphasized the gruesome nature of the killings,NEGATIVE
"I Saw the Truth in Korea,"" which contained a very gruesome description of alleged American atrocities in Korea",NEGATIVE
"The Vance Court simply struck down a regulation on direct shipments to consumers for personal use, under the Courts excruciatingly arcane pre-Prohibition precedents.",NEGATIVE
relatively painless violence may be vastly preferable to an excruciatingly painful death,POSITIVE
"she recounts that she put a copy of the letter in her file for the separate trial on the witness tampering charges against Ramos, and forgot about it",NEUTRAL
"Congress did not intend to authorize other remedies that it simply forgot to incorporate expressly.""",NEUTRAL
